update,outcome,loss,ev,kl,clipfrac,entropy,pass_frac,optional_pass,baseline,top_name,top_frac,eval_win,eval_loss,eval_draw
1,0.0,0.0006,-0.035,0.00245,0.018,0.678,0.588,0.392,0.105,pass,0.588,0.0,1.0,0.0
2,0.0,-0.0196,0.736,0.00401,0.035,0.863,0.551,0.406,0.109,pass,0.551,,,
3,0.0,-0.0154,0.885,0.00368,0.041,0.511,0.709,0.452,0.092,pass,0.709,,,
4,-0.2,-0.0318,0.93,0.00998,0.164,0.739,0.596,0.419,0.125,pass,0.596,,,
5,0.6,-0.024,0.961,0.00732,0.106,0.721,0.596,0.433,0.104,pass,0.596,,,
6,-0.333,-0.0261,0.983,0.00776,0.11,0.712,0.623,0.484,0.121,pass,0.623,,,
7,-0.2,-0.0258,0.978,0.00656,0.083,0.592,0.602,0.395,0.109,pass,0.602,,,
8,0.5,-0.0139,0.946,0.01293,0.154,0.824,0.547,0.433,0.115,pass,0.547,,,
9,-0.6,-0.0189,0.939,0.00845,0.107,0.521,0.678,0.419,0.1,pass,0.678,,,
10,-0.5,-0.0309,0.974,0.00995,0.156,0.873,0.426,0.316,0.104,pass,0.426,,,
11,0.6,-0.0261,0.992,0.00613,0.084,0.622,0.592,0.369,0.16,pass,0.592,,,
12,0.143,-0.0338,0.977,0.01086,0.169,0.735,0.492,0.378,0.111,pass,0.492,,,
13,-1.0,-0.0257,0.982,0.00661,0.096,0.733,0.561,0.394,0.086,pass,0.561,,,
14,0.6,-0.0267,0.984,0.00766,0.112,0.669,0.588,0.383,0.084,pass,0.588,,,
15,-0.2,-0.0313,0.981,0.00728,0.101,0.667,0.559,0.376,0.09,pass,0.559,,,
16,-0.2,-0.0191,0.949,0.00661,0.081,0.529,0.672,0.44,0.07,pass,0.672,,,
17,0.333,-0.0227,0.992,0.00832,0.115,0.539,0.646,0.351,0.088,pass,0.646,,,
18,0.0,-0.0231,0.996,0.00384,0.05,0.601,0.604,0.349,0.078,pass,0.604,,,
19,-0.5,-0.0239,0.997,0.00712,0.101,0.719,0.49,0.319,0.121,pass,0.49,,,
20,0.333,-0.0239,0.997,0.00462,0.062,0.73,0.533,0.336,0.127,pass,0.533,,,
21,-0.2,-0.0294,0.998,0.00909,0.142,0.777,0.533,0.389,0.105,pass,0.533,,,
22,-0.143,-0.0232,0.998,0.00502,0.06,0.607,0.639,0.399,0.115,pass,0.639,,,
23,0.5,-0.0294,0.996,0.00895,0.12,0.708,0.564,0.382,0.104,pass,0.564,,,
24,-1.0,-0.0251,0.998,0.00895,0.123,0.816,0.564,0.427,0.121,pass,0.564,,,
25,0.5,-0.0366,0.993,0.01573,0.175,0.741,0.621,0.517,0.125,pass,0.621,0.45,0.55,0.0
26,0.0,-0.0204,0.99,0.01064,0.146,0.613,0.689,0.494,0.088,pass,0.689,,,
27,0.2,-0.0277,0.992,0.04578,0.151,0.482,0.652,0.433,0.098,pass,0.652,,,
28,-0.333,-0.0226,0.998,0.00631,0.101,0.555,0.613,0.398,0.107,pass,0.613,,,
29,0.5,-0.0249,0.995,0.01045,0.142,0.676,0.586,0.387,0.104,pass,0.586,,,
30,-0.5,-0.0228,0.995,0.00739,0.093,0.503,0.648,0.371,0.107,pass,0.648,,,
31,1.0,-0.0227,0.994,0.00875,0.131,0.582,0.596,0.375,0.139,pass,0.596,,,
32,-0.6,-0.0242,0.991,0.00834,0.101,0.605,0.598,0.37,0.074,pass,0.598,,,
33,0.2,-0.0297,0.996,0.01134,0.121,0.659,0.545,0.315,0.102,pass,0.545,,,
34,-0.143,-0.0269,0.997,0.0136,0.187,0.674,0.557,0.381,0.072,pass,0.557,,,
35,0.2,-0.0285,0.996,0.01076,0.131,0.69,0.459,0.253,0.113,pass,0.459,,,
36,0.0,-0.0273,0.991,0.01029,0.137,0.627,0.547,0.41,0.092,pass,0.547,,,
37,0.2,-0.0281,0.996,0.01319,0.117,0.643,0.518,0.316,0.107,pass,0.518,,,
38,-0.2,-0.0346,0.985,0.01422,0.193,0.817,0.459,0.328,0.123,pass,0.459,,,
39,0.0,-0.0329,0.997,0.01409,0.143,0.669,0.508,0.373,0.094,pass,0.508,,,
40,0.0,-0.0242,0.976,0.01501,0.171,0.503,0.613,0.329,0.096,pass,0.613,,,
41,0.2,-0.0327,0.975,0.01018,0.132,0.663,0.506,0.356,0.117,pass,0.506,,,
42,-0.2,-0.028,0.994,0.00831,0.115,0.577,0.58,0.386,0.105,pass,0.58,,,
43,0.0,-0.0332,0.992,0.02578,0.215,0.51,0.521,0.271,0.135,pass,0.521,,,
44,0.0,-0.0264,0.991,0.01567,0.172,0.617,0.555,0.367,0.129,pass,0.555,,,
45,0.0,-0.0246,0.996,0.00984,0.113,0.713,0.473,0.313,0.15,pass,0.473,,,
46,0.2,-0.0213,0.996,0.00711,0.077,0.619,0.514,0.291,0.139,pass,0.514,,,
47,-0.143,-0.032,0.999,0.02322,0.237,0.609,0.547,0.357,0.125,pass,0.547,,,
48,-0.333,-0.0207,0.995,0.01694,0.166,0.449,0.625,0.326,0.137,pass,0.625,,,
49,0.6,-0.0373,0.997,0.01406,0.142,0.814,0.43,0.277,0.158,pass,0.43,,,
50,-0.333,-0.0257,0.994,0.00957,0.127,0.54,0.537,0.197,0.123,pass,0.537,0.5,0.5,0.0
51,0.0,-0.0205,0.991,0.00817,0.103,0.385,0.654,0.217,0.102,pass,0.654,,,
52,0.333,-0.0276,0.989,0.01012,0.104,0.441,0.547,0.192,0.174,pass,0.547,,,
53,-0.5,-0.029,0.987,0.01319,0.145,0.618,0.494,0.249,0.17,pass,0.494,,,
54,0.5,-0.029,0.998,0.01545,0.179,0.673,0.492,0.27,0.152,pass,0.492,,,
55,0.0,-0.0248,0.992,0.01389,0.164,0.618,0.533,0.323,0.113,pass,0.533,,,
56,-0.5,-0.0314,0.992,0.01133,0.158,0.723,0.475,0.319,0.17,pass,0.475,,,
57,0.2,-0.0312,0.996,0.01428,0.167,0.611,0.539,0.343,0.17,pass,0.539,,,
58,0.333,-0.0326,0.996,0.01772,0.212,0.65,0.537,0.359,0.141,pass,0.537,,,
59,-0.5,-0.0281,0.994,0.01468,0.149,0.495,0.59,0.327,0.115,pass,0.59,,,
60,0.5,-0.0271,0.996,0.01603,0.156,0.474,0.629,0.347,0.123,pass,0.629,,,
61,-1.0,-0.0167,0.99,0.00763,0.08,0.368,0.637,0.303,0.129,pass,0.637,,,
62,1.0,-0.0303,0.988,0.0174,0.149,0.523,0.541,0.34,0.148,pass,0.541,,,
63,-1.0,-0.0257,0.991,0.01841,0.126,0.474,0.523,0.326,0.129,pass,0.523,,,
64,0.333,-0.0338,0.991,0.02061,0.206,0.624,0.514,0.352,0.141,pass,0.514,,,
65,-0.2,-0.031,0.99,0.01446,0.17,0.628,0.553,0.357,0.152,pass,0.553,,,
66,0.0,-0.0268,0.998,0.01859,0.151,0.589,0.535,0.358,0.154,pass,0.535,,,
67,0.2,-0.0271,0.996,0.01118,0.124,0.64,0.52,0.315,0.158,pass,0.52,,,
68,-0.333,-0.0255,0.991,0.0216,0.191,0.523,0.516,0.33,0.143,pass,0.516,,,
69,0.333,-0.033,0.996,0.01955,0.203,0.532,0.463,0.261,0.16,pass,0.463,,,
70,0.2,-0.0269,0.995,0.01619,0.158,0.397,0.6,0.332,0.111,pass,0.6,,,
71,-0.6,-0.0273,0.996,0.02289,0.17,0.429,0.557,0.272,0.119,pass,0.557,,,
72,1.0,-0.0255,0.951,0.01936,0.159,0.572,0.457,0.234,0.111,pass,0.457,,,
73,-1.0,-0.016,0.983,0.02538,0.183,0.509,0.547,0.303,0.139,pass,0.547,,,
74,0.333,-0.0277,0.992,0.02594,0.213,0.593,0.48,0.294,0.133,pass,0.48,,,
75,0.333,-0.0364,0.991,0.019,0.202,0.617,0.453,0.289,0.119,pass,0.453,0.5,0.5,0.0
76,-1.0,-0.0158,0.968,0.0108,0.069,0.343,0.609,0.262,0.1,pass,0.609,,,
77,0.5,-0.0302,0.936,0.01606,0.175,0.509,0.445,0.232,0.141,pass,0.445,,,
78,-0.2,-0.0235,0.983,0.01904,0.101,0.368,0.541,0.175,0.092,pass,0.541,,,
79,0.0,-0.018,0.986,0.01226,0.106,0.487,0.477,0.221,0.094,pass,0.477,,,
80,0.0,-0.0263,0.981,0.01108,0.135,0.505,0.463,0.196,0.119,pass,0.463,,,
81,0.0,-0.0247,0.993,0.00894,0.103,0.48,0.512,0.188,0.102,pass,0.512,,,
82,0.2,-0.0125,0.99,0.01687,0.101,0.311,0.678,0.247,0.066,pass,0.678,,,
83,-0.333,-0.0307,0.956,0.01088,0.131,0.653,0.418,0.228,0.141,pass,0.418,,,
